EmployeeID,Name,Department,JobRole,Gender,Age,YearsAtCompany,MonthlySalary,PerformanceRating,WorkLifeBalanceScore,AttritionRisk,Attrition_Prob,Risk_Level,gaps_count,weighted_gap_score,coverage_pct,Top_Skill_Gap,Rec_Priority,Recommended_Tools
150,Mary Fowler,Marketing,Content Lead,Male,48,10,139956,3,3.0,No,0.0022,LOW,5,18.0,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
151,David Wright,Hr,Hr Executive,Other,34,6,53489,3,0.9,No,0.002,LOW,5,19.0,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
152,Nancy Jones,Sales,Account Manager,Other,34,5,123313,4,4.1,No,0.0008,LOW,5,18.49,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
153,Robert Stone,It,Tester,Other,52,4,34410,4,8.07,No,0.0009,LOW,5,18.12,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
154,Kelli Ashley,Marketing,Seo Analyst,Male,54,9,35504,4,0.67,No,0.0016,LOW,7,23.0,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
155,Austin Middleton,Hr,Hr Executive,Other,41,8,47809,4,-0.73,No,0.0015,LOW,6,19.13,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
156,Aaron Franklin,It,Developer,Male,33,2,152793,3,1.67,No,0.0016,LOW,6,20.13,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
157,Robert Sweeney,Hr,Hr Executive,Male,51,8,144222,4,2.73,No,0.0015,LOW,6,22.24,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
158,James Scott,Marketing,Content Lead,Female,55,7,122095,4,7.0,No,0.0009,LOW,5,17.12,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
159,Stephen Harris,Support,Support Engineer,Other,60,13,176852,5,4.9,No,0.0013,LOW,6,19.88,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
160,Bryan Brown,Sales,Sales Executive,Male,51,15,138076,3,7.1,No,0.0011,LOW,7,26.37,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
161,James Harrison,Support,Helpdesk,Male,53,2,166057,3,0.57,No,0.007,LOW,6,23.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
162,Tracy Peterson,Finance,Accountant,Female,35,4,81547,4,1.1,No,0.0017,LOW,7,24.12,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
163,Juan Garcia,Hr,Hr Executive,Female,47,8,78148,5,7.33,No,0.0009,LOW,6,21.25,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
164,Carrie Huber,Hr,Hr Manager,Female,25,5,57534,3,1.7,No,0.0016,LOW,7,24.5,0.3,Speaking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
165,Craig Rodgers,It,Tester,Other,60,15,77413,2,4.6,Yes,0.9925,HIGH,7,24.13,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
166,Jonathan Jones,It,Tester,Female,31,2,143831,3,6.6,No,0.0009,LOW,7,23.25,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
167,Miss Erin Campbell,Hr,Hr Manager,Female,28,3,126163,3,7.13,No,0.0009,LOW,7,26.5,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
168,Brian Thomas,Hr,Hr Executive,Other,34,5,151729,3,3.0,No,0.0015,LOW,5,17.13,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
169,Joshua Crawford,Support,Support Engineer,Other,33,10,44773,3,7.63,No,0.0012,LOW,7,26.49,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
170,Rebecca Thomas,Sales,Account Manager,Female,60,5,115425,1,-2.17,Yes,0.9982,HIGH,5,17.49,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
171,Olivia Villarreal,Marketing,Seo Analyst,Other,60,13,52297,5,2.03,No,0.0023,LOW,5,15.75,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
172,Mr. Ricardo Compton DDS,Hr,Hr Manager,Female,22,12,166881,3,8.63,No,0.0013,LOW,6,21.62,0.4,Speaking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
173,Cory Preston,Support,Support Engineer,Female,39,13,38986,1,6.23,No,0.0099,LOW,7,25.12,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
174,Teresa Kirk,Marketing,Content Lead,Other,43,13,172355,4,2.77,No,0.0023,LOW,5,17.49,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
175,Rachel Long,Marketing,Seo Analyst,Other,51,2,43852,4,-0.13,No,0.0016,LOW,6,22.0,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
176,Michael Wallace,Support,Helpdesk,Male,24,9,134669,3,0.4,No,0.0074,LOW,7,25.0,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
177,Ian Malone,Support,Helpdesk,Male,59,2,126177,1,5.5,No,0.0277,LOW,5,16.88,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
178,Mark Rodriguez,Sales,Account Manager,Male,49,15,47221,4,6.93,No,0.0013,LOW,5,18.0,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
179,Ashley Owen,Marketing,Seo Analyst,Other,34,9,88315,2,2.77,Yes,0.9977,HIGH,5,17.12,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
180,Barbara Stokes,Support,Helpdesk,Male,49,14,139006,2,1.07,Yes,0.9938,HIGH,7,24.37,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
181,Veronica Chapman,Support,Helpdesk,Other,30,4,124984,3,6.6,No,0.0009,LOW,6,23.61,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
182,Emily Gonzalez,Support,Support Engineer,Other,51,11,48033,3,8.07,No,0.0012,LOW,6,23.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
183,Colton Weaver,Sales,Account Manager,Female,28,8,176131,3,3.73,No,0.0009,LOW,7,24.37,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
184,Samuel Boyd,Finance,Auditor,Other,58,11,83089,2,4.87,No,0.009,LOW,7,21.63,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
185,Sarah Bennett,Sales,Sales Executive,Female,33,3,65067,4,2.3,No,0.0078,LOW,5,18.25,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
186,Jane Carroll,It,Developer,Other,29,11,35093,4,0.43,No,0.0023,LOW,6,17.74,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
187,Zachary Guzman,Support,Support Engineer,Female,33,4,161083,3,4.3,No,0.0008,LOW,6,21.37,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
188,Michael Martin,Support,Support Engineer,Male,26,14,142521,4,4.57,No,0.002,LOW,5,17.0,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
189,Julie Stafford,Finance,Accountant,Other,55,4,98836,2,1.0,Yes,0.9983,HIGH,6,23.12,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
190,Dylan Hansen MD,Finance,Auditor,Other,23,9,36596,5,2.33,No,0.001,LOW,7,21.51,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
191,Michael Rangel,Hr,Hr Executive,Male,25,3,79311,4,4.87,No,0.0009,LOW,5,18.12,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
192,Bryan Brock,It,Engineer,Other,51,6,177547,3,-0.47,No,0.0069,LOW,6,22.25,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
193,Alison Cunningham,Support,Support Engineer,Male,51,6,139711,5,-2.47,No,0.0015,LOW,6,21.25,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
194,Sarah Lawson,Finance,Auditor,Female,23,14,133661,4,3.17,No,0.002,LOW,5,17.63,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
195,Patrick Daniels,Support,Helpdesk,Other,55,8,119959,3,4.13,No,0.0021,LOW,6,20.12,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
196,Kimberly Perkins,Hr,Hr Manager,Male,29,13,41236,4,-0.23,No,0.0021,LOW,6,22.25,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
197,John Thomas,Hr,Hr Executive,Male,36,5,60667,4,7.37,No,0.0009,LOW,6,22.61,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
198,Frank Smith,Finance,Accountant,Male,57,11,85219,4,5.17,No,0.0012,LOW,7,24.25,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
199,Christopher Cooper,It,Tester,Male,22,8,113299,2,6.23,No,0.0072,LOW,6,19.25,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
200,Kelly Jackson,It,Engineer,Other,35,4,73218,2,1.87,Yes,0.9983,HIGH,7,26.36,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
201,Alexandra Johnson,Finance,Accountant,Other,51,10,166935,5,1.77,No,0.0013,LOW,7,24.37,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
202,Leslie Zimmerman,Finance,Accountant,Female,21,10,149268,5,4.33,No,0.0021,LOW,5,17.88,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
203,Paul Murray,Marketing,Seo Analyst,Female,24,2,167109,3,3.1,No,0.0011,LOW,7,23.88,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
204,Shannon Hall,Hr,Hr Executive,Female,23,5,44615,5,4.67,No,0.0008,LOW,6,23.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
205,Eric Mitchell,Marketing,Content Lead,Female,40,6,174938,3,-0.93,No,0.0071,LOW,6,21.0,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
206,Erica Murphy,Sales,Sales Executive,Male,55,9,141609,4,4.73,No,0.0009,LOW,7,26.12,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
207,David Bradford,Support,Helpdesk,Male,48,2,143395,2,-0.2,Yes,0.991,HIGH,6,22.36,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
208,William Lopez MD,Support,Support Engineer,Male,48,6,91560,4,-1.07,No,0.0015,LOW,7,24.12,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
209,David Salas,Sales,Account Manager,Female,42,2,178594,3,9.03,No,0.0009,LOW,6,21.49,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
210,Sean Wilcox,Sales,Sales Executive,Other,49,12,136861,3,4.3,No,0.005,LOW,6,22.49,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
211,Tommy Rios,Finance,Auditor,Female,48,7,70640,2,4.73,No,0.0064,LOW,6,18.26,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
212,Peter Wilson,Sales,Account Manager,Male,60,15,86918,5,-1.17,No,0.0021,LOW,6,19.25,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
213,William Welch,Sales,Sales Executive,Female,27,7,87099,3,4.2,No,0.0008,LOW,7,24.12,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
214,Austin Bradford,Sales,Account Manager,Other,52,8,33037,3,5.4,No,0.0009,LOW,6,20.13,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
215,Veronica White,Hr,Hr Manager,Female,38,8,143214,5,-1.87,No,0.0015,LOW,7,26.25,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
216,Zachary Smith,Marketing,Seo Analyst,Female,30,3,168202,5,4.27,No,0.0009,LOW,5,18.0,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
217,David King,It,Engineer,Other,25,15,151301,4,-1.2,No,0.002,LOW,5,20.12,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
218,Kathryn Pham,It,Developer,Male,35,3,32158,4,5.0,No,0.0008,LOW,7,22.63,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
219,Kevin Flores,Finance,Auditor,Other,42,2,122405,3,4.13,No,0.0008,LOW,5,16.88,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
220,Mike Myers,Support,Support Engineer,Female,39,2,33150,4,6.07,No,0.0008,LOW,5,19.12,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
221,Karen Newton,Sales,Sales Executive,Other,55,13,70445,2,3.17,Yes,0.9982,HIGH,7,24.13,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
222,Kimberly Richardson,Marketing,Content Lead,Female,24,6,173731,4,0.23,No,0.0015,LOW,5,16.0,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
223,Beth Rivera,Hr,Hr Executive,Female,26,9,35989,3,5.8,No,0.001,LOW,7,23.88,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
224,Carlos Garrison,Sales,Account Manager,Other,26,14,87882,3,2.6,No,0.0032,LOW,7,25.0,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
225,Michael Stevenson,Sales,Sales Executive,Other,44,9,125274,1,1.07,Yes,0.9985,HIGH,5,19.12,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
226,Christopher Vance,Finance,Auditor,Female,32,6,69596,3,4.23,No,0.0008,LOW,6,20.26,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
227,Michael Simon,Support,Helpdesk,Male,21,4,150477,3,2.17,No,0.0078,LOW,6,21.13,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
228,Connie White,Support,Support Engineer,Other,39,2,147300,3,2.8,No,0.0073,LOW,5,15.88,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
229,Eugene Hammond,Hr,Hr Manager,Male,28,6,137113,3,7.2,No,0.0009,LOW,6,20.62,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
230,Robert Hunter,Finance,Auditor,Other,54,9,43249,4,5.87,No,0.0009,LOW,5,14.5,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
231,Lisa Hubbard,Finance,Accountant,Female,27,11,35448,4,-1.33,No,0.0021,LOW,5,18.25,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
232,Deborah Stephens,Hr,Hr Manager,Other,56,12,122891,4,3.03,No,0.0012,LOW,7,25.25,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
233,Sandra Jordan,It,Developer,Female,24,6,42837,4,2.37,No,0.0017,LOW,5,15.12,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
234,Thomas Rogers,Finance,Accountant,Female,29,13,74702,3,5.17,No,0.0013,LOW,6,19.25,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
235,William Schneider,Hr,Hr Executive,Female,38,14,112040,3,2.1,No,0.0023,LOW,6,20.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
236,Alicia Colon PhD,Finance,Accountant,Female,35,11,170493,3,5.6,No,0.0013,LOW,5,18.0,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
237,Justin Sanchez,Sales,Account Manager,Male,42,2,44817,3,4.03,No,0.0008,LOW,6,22.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
238,Andrew Coleman,Support,Support Engineer,Female,56,2,39070,3,5.27,No,0.0008,LOW,5,16.25,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
239,James Hall,Finance,Auditor,Female,32,3,107827,3,2.17,No,0.0009,LOW,7,24.14,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
240,Daniel Walton,It,Developer,Female,44,5,170873,2,4.37,No,0.0068,LOW,5,16.0,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
241,Noah Williams,Support,Helpdesk,Other,55,10,162151,3,5.87,No,0.0013,LOW,5,17.13,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
242,Alicia Baker,Marketing,Content Lead,Female,42,12,170095,5,9.27,No,0.0013,LOW,6,19.13,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
243,Mr. Walter Cardenas,Support,Support Engineer,Female,50,13,155425,3,6.23,No,0.0013,LOW,5,17.12,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
244,Robert Avila,Support,Helpdesk,Other,56,2,75142,3,5.0,No,0.0008,LOW,5,17.37,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
245,John Lee,Sales,Sales Executive,Other,25,8,156837,2,1.17,Yes,0.9983,HIGH,7,24.25,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
246,Sarah Shelton,Finance,Accountant,Female,26,6,32981,3,-2.17,No,0.007,LOW,5,16.25,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
247,Reginald Perez,It,Engineer,Male,39,13,171542,3,0.0,No,0.0091,LOW,6,20.25,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
248,Tammy Anderson,It,Engineer,Female,23,12,164893,2,3.63,Yes,0.982,HIGH,5,17.12,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
249,Daniel Medina,Hr,Hr Executive,Other,49,13,123450,3,4.5,No,0.0013,LOW,7,23.13,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
250,Jessica Nunez,It,Developer,Male,24,6,99973,5,9.0,No,0.0009,LOW,6,20.51,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
251,Matthew Rowe,Finance,Accountant,Other,22,11,71184,3,1.37,No,0.0021,LOW,6,19.88,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
252,Patrick Armstrong,Support,Helpdesk,Male,56,4,169664,4,-0.6,No,0.0068,LOW,5,18.37,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
253,Thomas Moore,Marketing,Seo Analyst,Female,50,6,102015,3,6.57,No,0.001,LOW,6,21.63,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
254,Shannon Green,It,Engineer,Female,42,11,83883,2,4.63,No,0.0104,LOW,6,21.13,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
255,Daniel Miller,Sales,Sales Executive,Male,44,11,59968,4,0.93,No,0.0021,LOW,7,24.49,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
256,Megan Johnson,Hr,Hr Manager,Male,56,15,146542,4,1.2,No,0.0024,LOW,6,21.75,0.4,Speaking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
257,Samantha Hill,Finance,Accountant,Other,54,6,91897,1,-2.63,Yes,0.9981,HIGH,7,25.0,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
258,Laurie Martinez,Hr,Hr Executive,Female,58,9,178781,4,1.77,No,0.0014,LOW,6,22.37,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
259,Jade Stephens,Finance,Auditor,Female,26,5,109535,3,5.83,No,0.0009,LOW,7,22.01,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
260,Andrew Clark,Hr,Hr Manager,Female,37,4,165808,4,3.7,No,0.0015,LOW,7,24.87,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
261,Alexis Flores,Marketing,Seo Analyst,Male,32,3,84858,3,5.27,No,0.0009,LOW,6,21.63,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
262,Erin Gonzalez,It,Tester,Female,60,2,77093,2,0.7,Yes,0.9982,HIGH,7,23.13,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
263,Timothy Li,It,Engineer,Female,55,7,131743,2,4.3,Yes,0.9916,HIGH,5,18.37,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
264,Mark Ford,Finance,Auditor,Male,55,11,134434,3,2.57,No,0.0023,LOW,6,17.63,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
265,Christopher Mejia,Hr,Hr Executive,Male,24,9,136945,4,1.9,No,0.0017,LOW,5,18.25,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
266,Andrea Bolton,Marketing,Content Lead,Female,43,7,135916,3,6.77,No,0.0008,LOW,5,17.25,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
267,Noah Gray,Support,Support Engineer,Male,57,12,93082,3,2.6,No,0.0013,LOW,7,25.25,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
268,Tommy Castillo,Marketing,Content Lead,Male,29,2,65014,3,8.13,No,0.0009,LOW,5,17.24,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
269,Carolyn Freeman,Hr,Hr Executive,Other,30,4,112960,2,6.13,No,0.0072,LOW,7,25.0,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
270,Kaitlyn Wheeler,Hr,Hr Executive,Other,52,8,132414,3,3.83,No,0.0008,LOW,5,17.25,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
271,Melissa Bryant,Finance,Accountant,Other,35,5,143004,3,8.3,No,0.0009,LOW,6,22.37,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
272,Dr. Kelly Porter DDS,Marketing,Content Lead,Male,56,6,54712,1,3.33,No,0.0286,LOW,5,19.25,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
273,Mark Reynolds,Sales,Account Manager,Male,30,7,153348,5,3.63,No,0.0014,LOW,7,24.0,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
274,Nicholas Garza,It,Tester,Male,55,10,174508,3,5.33,No,0.0013,LOW,7,24.37,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
275,James Singh,Hr,Hr Manager,Female,26,6,144116,4,3.47,No,0.0015,LOW,5,20.63,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
276,Laura Russell,It,Engineer,Male,56,6,159885,1,6.73,No,0.0089,LOW,6,23.12,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
277,Mr. Timothy Ray DDS,Sales,Account Manager,Female,27,15,169508,4,6.1,No,0.0013,LOW,5,19.36,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
278,Steven Moreno,Sales,Sales Executive,Male,38,2,177664,2,1.7,Yes,0.9983,HIGH,5,17.0,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
279,George Ingram,Sales,Account Manager,Male,21,10,47481,3,5.0,No,0.0013,LOW,6,22.49,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
280,Jason Leach,Finance,Auditor,Other,46,3,30120,4,3.9,No,0.0008,LOW,7,21.51,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
281,Norma Gardner,Sales,Account Manager,Other,50,7,142858,4,3.0,No,0.001,LOW,7,24.13,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
282,Theresa Morgan,Finance,Accountant,Female,31,15,105734,3,3.97,No,0.0017,LOW,5,17.25,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
283,Nicholas Klein,Hr,Hr Manager,Other,51,13,162145,2,-0.27,Yes,0.9987,HIGH,5,19.25,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
284,Taylor West,Support,Helpdesk,Other,24,13,46636,2,3.07,Yes,0.9984,HIGH,7,25.25,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
285,Alexandra Hill,Support,Helpdesk,Male,32,15,170728,3,2.43,No,0.011,LOW,6,22.25,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
286,Matthew Clark,Sales,Sales Executive,Female,27,11,133923,4,2.4,No,0.0013,LOW,6,21.37,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
287,Gabriella Smith,It,Developer,Other,57,4,79891,5,1.97,No,0.0009,LOW,6,18.87,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
288,Valerie Turner,Marketing,Seo Analyst,Female,21,13,58705,3,-1.07,No,0.0093,LOW,5,16.0,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
289,Ricky Morgan,Marketing,Content Lead,Male,22,10,119161,4,5.43,No,0.0013,LOW,5,19.24,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
290,Amy Lynch,Sales,Sales Executive,Female,38,3,122362,3,4.77,No,0.0012,LOW,6,21.37,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
291,Michael White,It,Developer,Other,57,8,122097,3,4.97,No,0.0012,LOW,6,18.75,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
292,Stephanie Smith,Sales,Sales Executive,Other,53,9,99804,3,4.3,No,0.0061,LOW,5,19.37,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
293,William Norman,Hr,Hr Manager,Female,21,8,68709,4,-0.1,No,0.0015,LOW,6,21.5,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
294,Ricky Clark,Hr,Hr Manager,Female,29,8,73431,5,0.5,No,0.0015,LOW,7,25.12,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
295,Melvin Edwards,Support,Helpdesk,Male,45,2,152937,5,4.6,No,0.0014,LOW,5,16.01,0.5,Speaking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
296,Michael Ramirez,Support,Support Engineer,Male,24,8,50829,3,2.5,No,0.0019,LOW,7,24.37,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
297,Cheryl Crawford,Support,Helpdesk,Female,22,14,91538,3,5.63,No,0.0049,LOW,6,20.37,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
298,Danielle Gonzalez,Sales,Account Manager,Other,53,10,72612,4,5.67,No,0.0013,LOW,7,25.49,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
